record_id,site_mut,water_type,datetime,src,qc,temp_field,do_percent_field,spc_field,ec_field,ph_field,turbidity_field,ec_lab,ph_lab,tn_mg_l,tp_mg_l,cl_mg_l,hco3_mg_l,so4_mg_l,na_mg_l,ca_mg_l,mg_mg_l,k_mg_l
201008171539_SW13_Wambidgee,36,2,17/08/2010 15:39,2,3,10,,310,,7.6,,,,,,77.55,,11.13,49.11,15.76,11.47,4.93
201008171546_SW14_FairviewCreek,37,2,17/08/2010 15:46,2,3,15.8,,1220,,8.5,,,,,,348.64,,91.49,133.1,94.61,110.52,17.23
201008171600_SW09_Bongongolong,32,2,17/08/2010 16:00,2,3,9.5,,135,,7.9,,,,,,27.5,,2.2,19.91,7.22,6,2.9
201008171613_SW18_Tarkarella,41,2,17/08/2010 16:13,2,3,11,,162,,7.7,,,,,,18.18,,5.29,21.45,6.35,10.24,2.11
201008171630_SW22_ArmoursLane,45,2,17/08/2010 16:30,2,3,9.3,,245,,7.5,,,,,,57.19,,8.17,37.27,12.54,9.84,4.21
201009300000_SW01_Coolac,24,2,30/09/2010 0:00,3,3,,,,,,,940,7.43,,,239.25,233.41,,122.82,52.4,51.45,6.85
201009300000_SW02_HoarseLane,25,2,30/09/2010 0:00,2,3,11.7,,1245,,8.32,,,,,,239.4,,,102.05,43.53,166.06,2.53
201009300000_SW14_FairviewCreek,37,2,30/09/2010 0:00,2,3,,,,,,,,,,,,,,,,,
201009300000_SW27_LongView,50,2,30/09/2010 0:00,2,3,,,,,,,,,,,,,,,,,
201009300000_SW29_CullingaCreekMain,52,2,30/09/2010 0:00,2,3,,,,,,,,,,,,,,,,,
201009300000_SW30_AthloneNorth,53,2,30/09/2010 0:00,2,3,,,,,,,,,,,,,,,,,
201009300000_SW32_WavehillNorth,55,2,30/09/2010 0:00,2,3,,,,,,,,,,,,,,,,,
201009300000_SW33_SECootaNorth,56,2,30/09/2010 0:00,2,3,,,,,,,,,,,,,,,,,
201009300740_SW06_Jindalee,29,2,30/09/2010 7:40,2,3,6.9,,1890,,7.89,,,,,,531.7,,,161.27,219.17,139.14,9.03
201009301050_SW35_BradmanOval,58,2,30/09/2010 10:50,2,3,16,,460,,10.01,,,,,,118.8,,,76.21,31.78,20.32,9.42
201009301105_SW04_Berthong,27,2,30/09/2010 11:05,2,3,13.2,,340,,8.1,,,,,,76,,,52.85,23.82,15.47,6.12
201009301110_SW21_CoolacMingay,44,2,30/09/2010 11:10,2,3,14,,940,,7.13,,,,,,235.9,,,122.2,50.64,58.65,6.56
201009301130_SW21_CoolacMingay,44,2,30/09/2010 11:30,2,3,13.5,,940,,7.43,,,,,,239.2,,,122.82,52.4,51.45,6.85
201009301155_SW22_ArmoursLane,45,2,30/09/2010 11:55,2,3,13.5,,955,,7.5,,,,,,254.7,,,132.09,55.85,51.56,6.84
201009301200_SW11_Glenarchy,34,2,30/09/2010 12:00,2,3,15,,2620,,8.8,,,,,,708.7,,,498.32,143.46,114.64,13.8
201009301210_SW18_Tarkarella,41,2,30/09/2010 12:10,2,3,16,,460,,7.64,,,,,,67.7,,,68.76,17.6,29.61,2.32
201009301235_SW23_BongongolongHeadwater,46,2,30/09/2010 12:35,2,3,15,,450,,7.57,,,,,,93.4,,,52.74,25.89,25.47,3.58
201009301245_SW09_Bongongolong,32,2,30/09/2010 12:45,2,3,15,,440,,8.4,,,,,,97.8,,,52.68,25.56,25.48,3.54
201009301320_SW25_BurraCreekNorth,48,2,30/09/2010 13:20,2,3,15.5,,383,,8.4,,,,,,102.7,,,60,19.52,15.26,3.59
201009301345_SW24_YammtreeMid,47,2,30/09/2010 13:45,2,3,14.8,,249,,8.43,,,,,,56.9,,,39.14,12.52,9.96,3.97
201009301405_SW23_BongongolongHeadwater,46,2,30/09/2010 14:05,2,3,16,,310,,8.22,,,,,,56.9,,,34.64,19.75,18.88,1.67
201009301430_SW13_Wambidgee,36,2,30/09/2010 14:30,2,3,13,,1000,,7.6,,,,,,281.6,,,155.38,61.54,42.05,7.91
201009301450_SW26_ReefCreek,49,2,30/09/2010 14:50,2,3,20.1,,1095,,8.65,,,,,,305.6,,,130.55,57.56,75.94,5.28
201009301510_SW15_MuttamaCreek,38,2,30/09/2010 15:10,2,3,13,,1045,,8.05,,,,,,295.2,,,164.14,62.76,42.98,7.63
201009301525_SW16_BrawlinRoadCreek,39,2,30/09/2010 15:25,2,3,13,,870,,8.02,,,,,,197.3,,,132.29,62.8,35.27,11.08
201009301540_SW05_Cunjegong,28,2,30/09/2010 15:40,2,3,16,,785,,7.89,,,,,,256.7,,,136.31,38.64,27.51,6.37
201009301600_SW07_RomaniEntry,30,2,30/09/2010 16:00,2,3,15,,600,,7.9,,,,,,175.4,,,96.91,29.31,22.22,4.96
201009301615_SW31_AthloneSouth,54,2,30/09/2010 16:15,2,3,18,,1000,,7.85,,,,,,301.9,,,185.94,54.84,34.49,7.76
201009301635_SW08_SheepStation,31,2,30/09/2010 16:35,2,3,15.5,,2380,,7.75,,,,,,894.7,,,421.01,191.38,86.36,11
201009301650_SW28_CullingaCreekEast,51,2,30/09/2010 16:50,2,3,20,,1030,,8.57,,,,,,250.2,,,126.78,72.5,68.36,7.54
201009301720_SW36_NashsLane,59,2,30/09/2010 17:20,2,3,16.5,,630,,8,,,,,,140.1,,,93.5,42.83,24.25,10.71
201009301750_SW20_Cootamundry12A,43,2,30/09/2010 17:50,2,3,15.5,,920,,8,,,,,,292.9,,,153.21,51.72,29.68,7.97
201009301810_SW03_Cootamundry,26,2,30/09/2010 18:10,2,3,16,,870,,8.1,,,,,,277,,,157.01,53.99,30.03,8.52
201009301825_SW34_BigDam,57,2,30/09/2010 18:25,2,3,16.3,,113,,8.58,,,,,,18.8,,,18.08,3.69,4.16,4.48
